>>> 
============ RESTART: C:\Users\Administrator\Desktop\conv\test.py ============
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 10900, training accuracy 1
step 10950, training accuracy 1
step 11000, training accuracy 1
step 11050, training accuracy 1
step 11100, training accuracy 1
step 11150, training accuracy 1
step 11200, training accuracy 1
step 11250, training accuracy 1
step 11300, training accuracy 1
step 11350, training accuracy 1
step 11400, training accuracy 1
step 11450, training accuracy 1
step 11500, training accuracy 1
step 11550, training accuracy 1
step 11600, training accuracy 1
step 11650, training accuracy 1
step 11700, training accuracy 1
step 11750, training accuracy 1
step 11800, training accuracy 1
step 11850, training accuracy 1
step 11900, training accuracy 1
step 11950, training accuracy 1
step 12000, training accuracy 0.99
step 12050, training accuracy 1
step 12100, training accuracy 1
step 12150, training accuracy 1
step 12200, training accuracy 1
step 12250, training accuracy 1
step 12300, training accuracy 1
step 12350, training accuracy 1
step 12400, training accuracy 1
step 12450, training accuracy 1
step 12500, training accuracy 1
step 12550, training accuracy 1
step 12600, training accuracy 1
step 12650, training accuracy 1
step 12700, training accuracy 1
step 12750, training accuracy 1
step 12800, training accuracy 1
step 12850, training accuracy 0.99
step 12900, training accuracy 1
step 12950, training accuracy 0.99
step 13000, training accuracy 1
step 13050, training accuracy 1
step 13100, training accuracy 1
step 13150, training accuracy 1
step 13200, training accuracy 1
step 13250, training accuracy 1
step 13300, training accuracy 1
step 13350, training accuracy 1
step 13400, training accuracy 1
step 13450, training accuracy 1
step 13500, training accuracy 1
step 13550, training accuracy 1
step 13600, training accuracy 1
step 13650, training accuracy 1
step 13700, training accuracy 1
step 13750, training accuracy 1
step 13800, training accuracy 1
step 13850, training accuracy 1
step 13900, training accuracy 1
step 13950, training accuracy 1
step 14000, training accuracy 1
step 14050, training accuracy 1
step 14100, training accuracy 1
step 14150, training accuracy 1
step 14200, training accuracy 1
step 14250, training accuracy 1
step 14300, training accuracy 1
step 14350, training accuracy 1
step 14400, training accuracy 1
step 14450, training accuracy 1
step 14500, training accuracy 1
step 14550, training accuracy 1
step 14600, training accuracy 1
step 14650, training accuracy 1
step 14700, training accuracy 1
step 14750, training accuracy 1
step 14800, training accuracy 1
step 14850, training accuracy 1
step 14900, training accuracy 1
step 14950, training accuracy 1
step 15000, training accuracy 1
step 15050, training accuracy 1
step 15100, training accuracy 1
step 15150, training accuracy 1
